symbol,composite_score,flags,criteria
CL,1.12483627444116,None,2025-Adjusted
KMB,0.661026301774678,None,2025-Adjusted
ITW,0.5094337667791273,None,2025-Adjusted
ADP,0.4490569415969855,None,2025-Adjusted
ADBE,0.39658394943035113,None,2025-Adjusted
GOOGL,0.3436083134328888,None,2025-Adjusted
GOOG,0.34360116850418176,None,2025-Adjusted
AXP,0.33458343315241745,None,2025-Adjusted
AMAT,0.32456838055432136,None,2025-Adjusted
HON,0.3015531055442445,None,2025-Adjusted
HUBB,0.29924415600662846,None,2025-Adjusted
HSY,0.29422605298549215,None,2025-Adjusted
CME,0.271338798569661,None,2025-Adjusted
HAL,0.23671640728965904,None,2025-Adjusted
AME,0.22333784851824479,None,2025-Adjusted
A,0.21262835122850127,None,2025-Adjusted
GD,0.20455630502391117,None,2025-Adjusted
EMN,0.18492597424917898,moat: FLAG: Qualitative moat review needed,2025-Adjusted
