symbol,criteria,composite_score,status,flags
CL,2025-Adjusted,1.4386467976463007,PASSED,None
KMB,2025-Adjusted,0.8003388144753283,PASSED,None
ITW,2025-Adjusted,0.5100650561740909,PASSED,None
ADP,2025-Adjusted,0.4652225984876348,PASSED,None
ADBE,2025-Adjusted,0.38999604609159133,PASSED,None
GOOG,2025-Adjusted,0.3425038882795506,PASSED,None
GOOGL,2025-Adjusted,0.3424994015291308,PASSED,None
AMAT,2025-Adjusted,0.3366435361399608,PASSED,None
AXP,2025-Adjusted,0.33547282458436056,PASSED,None
HON,2025-Adjusted,0.3011312910392896,PASSED,None
CME,2025-Adjusted,0.2717488783527387,PASSED,None
HAL,2025-Adjusted,0.2383166020564822,PASSED,None
AME,2025-Adjusted,0.22392401395777362,PASSED,None
A,2025-Adjusted,0.2089389433556614,PASSED,None
GD,2025-Adjusted,0.20445971478650898,PASSED,None
DHI,2025-Adjusted,0.20009632745229985,PASSED,None
EMN,2025-Adjusted,0.19634799882677592,PASSED,None
