symbol,criteria,composite_score,status,flags
CL,2025-Adjusted,1.12483627444116,PASSED,None
KMB,2025-Adjusted,0.661026301774678,PASSED,None
ITW,2025-Adjusted,0.5094337667791273,PASSED,None
ADP,2025-Adjusted,0.4490569415969855,PASSED,None
ADBE,2025-Adjusted,0.39658394943035113,PASSED,None
GOOGL,2025-Adjusted,0.3436083134328888,PASSED,None
GOOG,2025-Adjusted,0.34360116850418176,PASSED,None
AXP,2025-Adjusted,0.33458343315241745,PASSED,None
AMAT,2025-Adjusted,0.32456838055432136,PASSED,None
HON,2025-Adjusted,0.3015531055442445,PASSED,None
HUBB,2025-Adjusted,0.29924415600662846,PASSED,None
HSY,2025-Adjusted,0.29422605298549215,PASSED,None
CME,2025-Adjusted,0.271338798569661,PASSED,None
HAL,2025-Adjusted,0.23671640728965904,PASSED,None
AME,2025-Adjusted,0.22333784851824479,PASSED,None
A,2025-Adjusted,0.21262835122850127,PASSED,None
GD,2025-Adjusted,0.20455630502391117,PASSED,None
EMN,2025-Adjusted,0.18492597424917898,PASSED,moat: FLAG: Qualitative moat review needed
